id,web_name,full_name,position,team,now_cost,roll_minutes,roll_total_points,roll_ict_index,roll_threat,roll_creativity,roll_influence,roll_bps,roll_expected_goal_involvements,roll_expected_goals_conceded,roll_starts,roll_goals_scored,roll_assists,roll_clean_sheets,roll_goals_conceded,roll_bonus,roll_defensive_contribution,roll_tackles,roll_clearances_blocks_interceptions,roll_recoveries,games_played_so_far,ep_next,ep_this,total_points,points_per_game,form,status,chance_of_playing_next_round,chance_of_playing_this_round,selected_by_percent,news,matched_last_season
1,Raya,David Raya Martín,GK,1,60,72.0,6.2,1.2,0.0,0.02,12.08,20.4,0.002,0.5419999999999999,0.8,0.0,0.0,0.8,0.0,1.0,0.0,0.0,1.0,5.4,38.0,4.0,,162,4.4,0.0,a,,,30.7,,True
2,Arrizabalaga,Kepa Arrizabalaga Revuelta,GK,1,50,18.0,0.4,0.4,0.0,0.0,3.96,2.2,0.0,0.196,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.6,1.6,38.0,2.6,,2,2.0,0.0,a,,,0.2,,True
3,Meslier,Illan Meslier,GK,1,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,2.6,,0,0.0,0.0,a,,,0.1,,True
4,Gabriel,Gabriel dos Santos Magalhães,DEF,1,80,81.0,6.4,3.84,14.6,3.8599999999999994,19.72,23.4,0.20400000000000001,0.728,0.8,0.0,0.0,0.8,0.2,1.0,7.6,0.8,6.8,2.0,38.0,4.0,,209,6.5,0.0,a,,,25.9,,True
5,J.Timber,Jurriën Timber,DEF,1,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,,149,5.0,0.0,i,0.0,,0.5,Groin injury - Expected back 21 Aug,True
6,Saliba,William Saliba,DEF,1,60,72.0,5.2,2.48,2.8,6.26,15.719999999999999,21.6,0.098,0.542,0.8,0.0,0.0,0.8,0.0,0.6,5.4,0.6,4.8,2.6,38.0,0.0,,137,4.4,0.0,i,0.0,,0.5,Back injury - Unknown return date,True
7,Lewis-Skelly,Myles Lewis-Skelly,MID,1,55,59.2,3.2,1.1800000000000002,0.8,5.359999999999999,5.6,13.8,0.024,0.5120000000000001,0.6,0.0,0.0,0.4,0.2,0.0,1.2,0.4,0.8,2.6,38.0,2.0,,29,1.4,0.0,a,,,0.3,,True
8,Calafiori,Riccardo Calafiori,DEF,1,55,50.2,3.2,3.14,12.8,10.879999999999999,7.719999999999999,10.0,0.142,0.152,0.8,0.0,0.0,0.4,0.0,0.4,1.4,0.2,1.2,1.8,38.0,2.5,,109,4.2,0.0,a,,,15.3,,True
9,Hincapie,Piero Hincapié,DEF,1,55,39.6,2.4,1.56,2.6,3.1,9.72,9.2,0.06,0.396,0.4,0.0,0.0,0.2,0.2,0.2,4.2,1.2,3.0,1.4,38.0,2.5,,87,3.5,0.0,a,,,4.4,,True
10,White,Benjamin White,DEF,1,55,39.8,2.6,1.06,1.2,5.000000000000001,4.319999999999999,10.6,0.036000000000000004,0.274,0.6,0.0,0.0,0.4,0.0,0.0,1.4,0.0,1.4,1.4,38.0,2.5,,45,3.8,0.0,a,100.0,,0.2,,True
